AAVE.USD,ADA.USD,ALGO.USD,APE.USD,APT.USD,ATOM.USD,AVAX.USD,AXS.USD,BCH.USD,BNB.USD,BTC.USD,CHZ.USD,CRV.USD,DASH.USD,DOGE.USD,DOT.USD,EGLD.USD,EOS.USD,ETC.USD,ETH.USD,FIL.USD,FLOW.USD,FTM.USD,GRT.USD,HBAR.USD,ICP.USD,IMX.USD,LDO.USD,LINK.USD,LRC.USD,LTC.USD,MANA.USD,MASK.USD,MATIC.USD,MKR.USD,NEAR.USD,NEO.USD,OP.USD,PAXG.USD,QNT.USD,SAND.USD,SNX.USD,SOL.USD,THETA.USD,TRX.USD,UNI.USD,VET.USD,XLM.USD,XTZ.USD,ZIL.USD
79.86,0.3577,0.249,5.1329,12.5674,12.487,17.46,9.78,133.73,304.0289,23467.76,0.1332,1.022,72.69,0.0819,6.51,49.342,1.1661,21.0865,1636.16,6.65,1.19,0.4377,0.1567,0.0698,5.95,1.108,3.11,7.342,0.3569,95.91,0.6423,3.977,1.2341,827.4599,2.299,12.971,2.753,1808.91,127.7,0.6907,2.819,22.4692,1.154,0.0695,6.7303,0.0275,0.0876,1.1618,0.0316
79.77,0.3582,0.249,5.1329,12.5389,12.489,17.45,9.79,134.18,303.7921,23455.49,0.1338,1.022,72.69,0.0819,6.51,49.303,1.1661,21.133,1637.48,6.65,1.19,0.439,0.1565,0.0698,5.97,1.108,3.12,7.3438,0.3578,96.15,0.6461,3.977,1.2332,827.4599,2.3,12.949,2.753,1808.91,127.5,0.6907,2.83,22.466,1.154,0.0693,6.7166,0.0275,0.0875,1.1655,0.0316
79.98,0.3585,0.249,5.1329,12.5367,12.496,17.47,9.79,134.18,304.0673,23481.43,0.1338,1.025,72.69,0.0819,6.51,49.303,1.1681,21.1481,1640.06,6.65,1.19,0.4399,0.1568,0.0697,5.97,1.101,3.12,7.3499,0.3578,96.24,0.6461,3.977,1.2338,827.5161,2.304,12.919,2.76,1808.91,127.7,0.6907,2.852,22.4988,1.154,0.0693,6.72,0.0275,0.0877,1.1655,0.0316
79.98,0.3575,0.248,5.1329,12.6036,12.49,17.47,9.79,134.18,303.7272,23433.03,0.1338,1.023,72.69,0.0819,6.51,49.241,1.1681,21.1191,1635.42,6.65,1.19,0.4386,0.1567,0.0698,5.94,1.102,3.124,7.3333,0.3578,96.18,0.6469,3.977,1.2287,825.9328,2.303,12.919,2.764,1808.91,127.7,0.6907,2.852,22.4282,1.159,0.0694,6.7033,0.0275,0.0877,1.1688,0.0316
79.98,0.3572,0.248,5.1462,12.5634,12.482,17.49,9.79,133.79,303.9865,23421.39,0.1338,1.027,72.69,0.0819,6.5,49.354,1.1681,21.1191,1635.96,6.65,1.2,0.4386,0.1565,0.0698,5.96,1.102,3.124,7.3368,0.3578,95.94,0.6454,3.977,1.2291,825.9328,2.301,12.919,2.748,1808.91,127.7,0.6907,2.852,22.419,1.161,0.0695,6.7066,0.0276,0.0876,1.1688,0.0316
79.87,0.3576,0.249,5.1507,12.5882,12.482,17.51,9.79,133.79,304.1506,23444.72,0.1338,1.028,72.69,0.082,6.52,49.354,1.169,21.1709,1638.38,6.69,1.2,0.4395,0.1567,0.0699,5.96,1.103,3.129,7.3368,0.3578,96.1,0.6454,3.999,1.2306,825.9328,2.301,12.901,2.751,1808.91,127.7,0.6907,2.866,22.4449,1.161,0.0696,6.7209,0.0276,0.0875,1.1688,0.0316
80.06,0.3571,0.249,5.1401,12.5882,12.517,17.51,9.82,133.79,304.0658,23438.03,0.1338,1.028,72.69,0.0819,6.53,49.361,1.1681,21.1712,1636.67,6.67,1.19,0.4386,0.1568,0.0698,6.0,1.101,3.124,7.3368,0.3599,95.94,0.6468,4.05,1.2293,825.9399,2.322,13.113,2.744,1808.91,127.7,0.702,2.865,22.4373,1.168,0.0695,6.7422,0.0276,0.0877,1.168,0.0317
80.14,0.3569,0.249,5.1331,12.5882,12.508,17.48,9.81,133.65,303.7639,23436.73,0.1338,1.028,72.69,0.0819,6.53,49.349,1.1681,21.1712,1636.73,6.67,1.19,0.439,0.1564,0.0698,5.98,1.099,3.112,7.3401,0.3599,96.25,0.6468,4.0,1.2289,825.9399,2.314,13.064,2.743,1808.91,127.9,0.702,2.865,22.4381,1.168,0.0694,6.7156,0.0276,0.0877,1.168,0.0317
79.85,0.3568,0.249,5.1329,12.575,12.514,17.5,9.81,133.65,303.516,23432.63,0.134,1.026,72.69,0.0819,6.53,49.348,1.166,21.1357,1635.74,6.67,1.19,0.4392,0.1562,0.0698,5.96,1.099,3.112,7.33,0.3599,96.34,0.6451,3.994,1.2279,826.1739,2.325,13.123,2.74,1808.91,128.0,0.702,2.865,22.4498,1.164,0.0694,6.7111,0.0276,0.0877,1.168,0.0317
80.28,0.357,0.249,5.1329,12.6042,12.522,17.51,9.82,133.65,303.8632,23443.55,0.134,1.029,72.69,0.082,6.53,49.349,1.1674,21.1567,1637.45,6.67,1.19,0.4407,0.1561,0.0698,5.99,1.098,3.112,7.3347,0.3599,96.35,0.6465,4.041,1.2315,826.1739,2.325,13.058,2.745,1808.91,128.0,0.702,2.865,22.437,1.164,0.0695,6.7111,0.0276,0.0877,1.168,0.0317
